On day 1, price is $11.47
On day 2, price is $12.37
On day 3, price is $12.93
On day 4, price is $15.00
On day 5, price is $14.73
On day 6, price is $16.18
On day 7, price is $16.95
On day 8, price is $17.65
On day 9, price is $20.53
On day 10, price is $19.56
On day 11, price is $20.52
On day 12, price is $19.90
On day 13, price is $19.79
On day 14, price is $21.40
On day 15, price is $24.89
On day 16, price is $24.75
On day 17, price is $28.87
On day 18, price is $32.67
On day 19, price is $31.30
On day 20, price is $30.92
On day 21, price is $29.61
On day 22, price is $34.37
On day 23, price is $33.35
On day 24, price is $35.75
On day 25, price is $40.69
On day 26, price is $38.66
On day 27, price is $37.83
On day 28, price is $40.87
On day 29, price is $41.79
On day 30, price is $45.43
On day 31, price is $52.67
On day 32, price is $51.82
On day 33, price is $55.58
On day 34, price is $56.16
On day 35, price is $58.35
On day 36, price is $57.84
On day 37, price is $57.73
On day 38, price is $61.28
On day 39, price is $67.31
On day 40, price is $64.85
On day 41, price is $69.12
On day 42, price is $68.14
On day 43, price is $78.93
On day 44, price is $92.26
On day 45, price is $88.17
On day 46, price is $101.39
